Position,ID,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,realAbbrev
TE,K.Rudolph,Kyle Rudolph,3100,Min@Det 01:00PM ET,7.86,Min,MIN
RB,J.Bell,Joique Bell,3100,Min@Det 01:00PM ET,5.767,Det,DET
DST,V.,Vikings ,3000,Min@Det 01:00PM ET,8.6,Min,MIN
DST,R.,Ravens ,3000,Bal@Ari 08:30PM ET,6.167,Bal,BAL
WR,G.Jennings,Greg Jennings,3000,Hou@Mia 01:00PM ET,2.94,Mia,MIA
WR,J.Avant,Jason Avant,3000,Pit@KC 01:00PM ET,2.083,KC,KC
TE,V.Davis,Vernon Davis,3000,Sea@SF 08:25PM ET,4.725,SF,SF
WR,M.Austin,Miles Austin,3000,Phi@Car 08:30PM ET,4.383,Phi,PHI
WR,N.Washington,Nate Washington,3000,Hou@Mia 01:00PM ET,9.25,Hou,HOU
WR,D.Bowe,Dwayne Bowe,3000,Cle@StL 01:00PM ET,0,Cle,CLE
RB,T.Clutts,Tyler Clutts,3000,Dal@NYG 04:25PM ET,0.28,Dal,DAL
WR,H.Douglas,Harry Douglas,3000,Atl@Ten 01:00PM ET,4.5,Ten,TEN
WR,E.Weems,Eric Weems,3000,Atl@Ten 01:00PM ET,0,Atl,ATL
WR,M.Slater,Matthew Slater,3000,NYJ@NE 01:00PM ET,0,NE,NE
WR,J.Cotchery,Jerricho Cotchery,3000,Phi@Car 08:30PM ET,6.9,Car,CAR
RB,J.Felton,Jerome Felton,3000,Buf@Jax 09:30AM ET,0.033,Buf,BUF
RB,A.Bradshaw,Ahmad Bradshaw,3000,NO@Ind 01:00PM ET,2.6,Ind,IND
RB,M.Tolbert,Mike Tolbert,3000,Phi@Car 08:30PM ET,3.48,Car,CAR
WR,A.Hawkins,Andrew Hawkins,3000,Cle@StL 01:00PM ET,6.433,Cle,CLE
WR,S.Ajirotutu,Seyi Ajirotutu,3000,Phi@Car 08:30PM ET,0,Phi,PHI
WR,M.Moore,Marlon Moore,3000,Cle@StL 01:00PM ET,0.5,Cle,CLE
RB,D.Young,Darrel Young,3000,TB@Was 01:00PM ET,0.5,Was,WAS
WR,L.Murphy,Louis Murphy,3000,TB@Was 01:00PM ET,5.18,TB,TB
WR,B.Hartline,Brian Hartline,3000,Cle@StL 01:00PM ET,3.633,Cle,CLE
RB,D.Brown,Donald Brown,3000,Oak@SD 04:05PM ET,0,SD,SD
RB,J.Lane,Jorvorskie Lane,3000,TB@Was 01:00PM ET,0,TB,TB
RB,S.Draughn,Shaun Draughn,3000,Cle@StL 01:00PM ET,0.62,Cle,CLE
RB,M.Reece,Marcel Reece,3000,Oak@SD 04:05PM ET,9.78,Oak,OAK
DST,4.,49ers ,2100,Sea@SF 08:25PM ET,3.667,SF,SF
WR,B.Walters,Bryan Walters,3000,Buf@Jax 09:30AM ET,8.06,Jax,JAC
WR,A.Roberts,Andre Roberts,3000,TB@Was 01:00PM ET,2.4,Was,WAS
WR,J.Jones,Jacoby Jones,3000,Oak@SD 04:05PM ET,0,SD,SD
WR,R.Cooper,Riley Cooper,3000,Phi@Car 08:30PM ET,7.25,Phi,PHI
TE,L.Willson,Luke Willson,2500,Sea@SF 08:25PM ET,3.08,Sea,SEA
RB,B.Dixon,Boobie Dixon,3000,Buf@Jax 09:30AM ET,2.817,Buf,BUF
WR,J.Ross,Jeremy Ross,3000,Bal@Ari 08:30PM ET,5.5,Bal,BAL
RB,C.Reynolds,Chase Reynolds,3000,Cle@StL 01:00PM ET,0,StL,STL
WR,J.Morgan,Joseph Morgan,3000,NO@Ind 01:00PM ET,0,NO,NO
RB,F.Whittaker,Fozzy Whittaker,3000,Phi@Car 08:30PM ET,2.3,Car,CAR
WR,M.Easley,Marcus Easley,3000,Buf@Jax 09:30AM ET,0,Buf,BUF
RB,M.Asiata,Matt Asiata,3000,Min@Det 01:00PM ET,2.86,Min,MIN
RB,T.Jones,Taiwan Jones,3000,Oak@SD 04:05PM ET,2.3,Oak,OAK
WR,C.Johnson,Charles Johnson,3000,Min@Det 01:00PM ET,3.533,Min,MIN
WR,B.Quick,Brian Quick,3000,Cle@StL 01:00PM ET,1,StL,STL
RB,D.Herron,Daniel Herron,3000,Buf@Jax 09:30AM ET,3.25,Buf,BUF
WR,D.Moore,Denarius Moore,3000,Buf@Jax 09:30AM ET,-0.5,Buf,BUF
WR,D.Inman,Dontrelle Inman,3000,Oak@SD 04:05PM ET,4.52,SD,SD
TE,C.Fleener,Coby Fleener,3000,NO@Ind 01:00PM ET,7.3,Ind,IND
WR,J.Kerley,Jeremy Kerley,3000,NYJ@NE 01:00PM ET,3.06,NYJ,NYJ
RB,A.Sherman,Anthony Sherman,3000,Pit@KC 01:00PM ET,0.55,KC,KC
RB,B.Miller,Bruce Miller,3000,Sea@SF 08:25PM ET,2.983,SF,SF
RB,R.Turbin,Robert Turbin,3000,Cle@StL 01:00PM ET,2.7,Cle,CLE
RB,W.Johnson,Will Johnson,3000,Pit@KC 01:00PM ET,1.117,Pit,PIT
RB,B.Rainey,Bobby Rainey,3000,TB@Was 01:00PM ET,0.84,TB,TB
RB,R.Helu,Roy Helu Jr.,3000,Oak@SD 04:05PM ET,4.625,Oak,OAK
RB,P.DiMarco,Patrick DiMarco,3000,Atl@Ten 01:00PM ET,1.35,Atl,ATL
RB,A.Johnson,Austin Johnson,3000,NO@Ind 01:00PM ET,1.88,NO,NO
RB,C.Polk,Chris Polk,3000,Hou@Mia 01:00PM ET,5.733,Hou,HOU
WR,B.Ellington,Bruce Ellington,3000,Sea@SF 08:25PM ET,2.8,SF,SF
RB,K.Barner,Kenjon Barner,3000,Phi@Car 08:30PM ET,0,Phi,PHI
WR,B.Butler,Brice Butler,3000,Dal@NYG 04:25PM ET,2.567,Dal,DAL
RB,Z.Line,Zach Line,3000,Min@Det 01:00PM ET,2.7,Min,MIN
WR,C.Owusu,Chris Owusu,3000,NYJ@NE 01:00PM ET,4.75,NYJ,NYJ
WR,G.Whalen,Griff Whalen,3000,NO@Ind 01:00PM ET,2.267,Ind,IND
WR,B.Bersin,Brenton Bersin,3000,Phi@Car 08:30PM ET,3.9,Car,CAR
RB,J.Grimes,Jonathan Grimes,3000,Hou@Mia 01:00PM ET,5.625,Hou,HOU
WR,F.Hammond,Frankie Hammond Jr.,3000,Pit@KC 01:00PM ET,0,KC,KC
WR,J.Brown,Jaron Brown,3000,Bal@Ari 08:30PM ET,2.467,Ari,ARI
WR,C.Givens,Chris Givens,3000,Bal@Ari 08:30PM ET,1.58,Bal,BAL
WR,K.Martin,Keshawn Martin,3000,NYJ@NE 01:00PM ET,7.167,NE,NE
WR,M.White,Myles White,3000,Dal@NYG 04:25PM ET,0,NYG,NYG
RB,J.Todman,Jordan Todman,3000,Pit@KC 01:00PM ET,0.183,Pit,PIT
WR,J.Wright,Jarius Wright,3000,Min@Det 01:00PM ET,4.8,Min,MIN
RB,B.Bolden,Brandon Bolden,3000,NYJ@NE 01:00PM ET,0.72,NE,NE
RB,J.Gray,Jonas Gray,3000,Hou@Mia 01:00PM ET,3.167,Mia,MIA
WR,R.Shepard,Russell Shepard,3000,TB@Was 01:00PM ET,0.533,TB,TB
RB,Z.Tipton,Zurlon Tipton,3000,NO@Ind 01:00PM ET,0.3,Ind,IND
RB,T.Bohanon,Tommy Bohanon,3000,NYJ@NE 01:00PM ET,0.04,NYJ,NYJ
WR,R.Grant,Ryan Grant,3000,TB@Was 01:00PM ET,4.667,Was,WAS
WR,M.Wheaton,Markus Wheaton,3000,Pit@KC 01:00PM ET,6.933,Pit,PIT
RB,N.Whitlock,Nikita Whitlock,3000,Dal@NYG 04:25PM ET,0,NYG,NYG
RB,K.Juszczyk,Kyle Juszczyk,3000,Bal@Ari 08:30PM ET,4.75,Bal,BAL
RB,S.Taylor,Stepfan Taylor,3000,Bal@Ari 08:30PM ET,0.417,Ari,ARI
RB,Z.Stacy,Zac Stacy,3000,NYJ@NE 01:00PM ET,5.175,NYJ,NYJ
WR,T.Washington,Tony Washington,3000,Buf@Jax 09:30AM ET,0.2,Jax,JAC
RB,B.Oliver,Branden Oliver,3000,Oak@SD 04:05PM ET,2.7,SD,SD
WR,D.Archer,Dri Archer,3000,Pit@KC 01:00PM ET,0,Pit,PIT
WR,M.Goodwin,Marquise Goodwin,3000,Buf@Jax 09:30AM ET,2.2,Buf,BUF
RB,B.Wegher,Brandon Wegher,3000,Phi@Car 08:30PM ET,0,Car,CAR
WR,K.Norwood,Kevin Norwood,3000,Phi@Car 08:30PM ET,0,Car,CAR
WR,R.Lockette,Ricardo Lockette,3000,Sea@SF 08:25PM ET,2.6,Sea,SEA
RB,C.Michael,Christine Michael,3000,Dal@NYG 04:25PM ET,0.25,Dal,DAL
RB,D.Robinson,Denard Robinson,3000,Buf@Jax 09:30AM ET,4.733,Jax,JAC
WR,N.Williams,Nick Williams,3000,Atl@Ten 01:00PM ET,1.917,Atl,ATL
WR,D.Street,Devin Street,3000,Dal@NYG 04:25PM ET,1.02,Dal,DAL
WR,M.Brown,Marlon Brown,3000,Bal@Ari 08:30PM ET,3.067,Bal,BAL
