Position,ID,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,realAbbrev
QB,B.Gabbert,Blaine Gabbert,5000,Sea@SF 08:25PM ET,0,SF,SF
TE,L.Toilolo,Levine Toilolo,2500,Atl@Ten 01:00PM ET,1.467,Atl,ATL
TE,J.Cunningham,Justice Cunningham,2500,Cle@StL 01:00PM ET,0,StL,STL
TE,G.Escobar,Gavin Escobar,2500,Dal@NYG 04:25PM ET,2.28,Dal,DAL
TE,D.Sims,Dion Sims,2500,Hou@Mia 01:00PM ET,6.65,Mia,MIA
TE,J.Cunningham,Jerome Cunningham,2500,Dal@NYG 04:25PM ET,1.3,NYG,NYG
TE,N.Jacobs,Nic Jacobs,2500,Buf@Jax 09:30AM ET,0,Jax,JAC
RB,W.Tukuafu,Will Tukuafu,3000,Sea@SF 08:25PM ET,0,Sea,SEA
TE,C.Gillmore,Crockett Gillmore,2500,Bal@Ari 08:30PM ET,10.775,Bal,BAL
TE,T.Burton,Trey Burton,2500,Phi@Car 08:30PM ET,0,Phi,PHI
TE,K.Nelson,Kyle Nelson,2500,Sea@SF 08:25PM ET,0,SF,SF
TE,J.O'Shaughnessy,James O'Shaughnessy,2500,Pit@KC 01:00PM ET,2.25,KC,KC
