"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"TE","Austin Seferian-Jenkins",3200,"TB@Was 01:00PM ET",17.950,"TB"
"WR","Tyler Lockett",3200,"Sea@SF 08:25PM ET",6.150,"Sea"
"WR","Dorial Green-Beckham",3200,"Atl@Ten 01:00PM ET",5.440,"Ten"
"RB","Matt Jones",3200,"TB@Was 01:00PM ET",9.800,"Was"
"WR","Seth Roberts",3200,"Oak@SD 04:05PM ET",5.400,"Oak"
"DST","Bills ",3100,"Buf@Jax 09:30AM ET",6.000,"Buf"
"DST","Panthers ",3100,"Phi@Car 08:30PM ET",10.400,"Car"
"WR","Darrius Heyward-Bey",3100,"Pit@KC 01:00PM ET",8.317,"Pit"
"RB","Darren McFadden",3100,"Dal@NYG 04:25PM ET",8.220,"Dal"
"TE","Kyle Rudolph",3100,"Min@Det 01:00PM ET",7.860,"Min"
"RB","Joique Bell",3100,"Min@Det 01:00PM ET",5.767,"Det"
"DST","Vikings ",3000,"Min@Det 01:00PM ET",8.600,"Min"
"DST","Ravens ",3000,"Bal@Ari 08:30PM ET",6.167,"Bal"
"WR","Greg Jennings",3000,"Hou@Mia 01:00PM ET",2.940,"Mia"
"WR","Jason Avant",3000,"Pit@KC 01:00PM ET",2.083,"KC"
"TE","Vernon Davis",3000,"Sea@SF 08:25PM ET",4.725,"SF"
