"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"TE","Rhett Ellison",2500,"Min@Det 01:00PM ET",0.680,"Min"
"TE","Garrett Celek",2500,"Sea@SF 08:25PM ET",5.517,"SF"
"TE","James Hanna",2500,"Dal@NYG 04:25PM ET",0.567,"Dal"
"TE","Jake Stoneburner",2500,"Hou@Mia 01:00PM ET",5.425,"Mia"
"TE","Mychal Rivera",2500,"Oak@SD 04:05PM ET",3.080,"Oak"
"TE","Cory Harkey",2500,"Cle@StL 01:00PM ET",0.280,"StL"
"TE","Beau Brinkley",2500,"Atl@Ten 01:00PM ET",0.000,"Ten"
"TE","Kevin McDermott",2500,"Min@Det 01:00PM ET",0.000,"Min"
"TE","Tim Wright",2500,"Min@Det 01:00PM ET",3.700,"Det"
"TE","Michael Williams",2500,"NYJ@NE 01:00PM ET",0.500,"NE"
"TE","Luke Willson",2500,"Sea@SF 08:25PM ET",3.080,"Sea"
"TE","Josh Hill",2500,"NO@Ind 01:00PM ET",3.183,"NO"
"TE","James Winchester",2500,"Pit@KC 01:00PM ET",0.000,"KC"
"TE","Jack Doyle",2500,"NO@Ind 01:00PM ET",1.650,"Ind"
"TE","Vance McDonald",2500,"Sea@SF 08:25PM ET",1.620,"SF"
"TE","Levine Toilolo",2500,"Atl@Ten 01:00PM ET",1.467,"Atl"
"TE","Justice Cunningham",2500,"Cle@StL 01:00PM ET",0,"StL"
"TE","Gavin Escobar",2500,"Dal@NYG 04:25PM ET",2.280,"Dal"
"TE","Dion Sims",2500,"Hou@Mia 01:00PM ET",6.650,"Mia"
"TE","Jerome Cunningham",2500,"Dal@NYG 04:25PM ET",1.300,"NYG"
"TE","Nic Jacobs",2500,"Buf@Jax 09:30AM ET",0.000,"Jax"
"TE","Cooper Helfet",2500,"Sea@SF 08:25PM ET",0.000,"Sea"
"TE","Crockett Gillmore",2500,"Bal@Ari 08:30PM ET",10.775,"Bal"
"TE","Trey Burton",2500,"Phi@Car 08:30PM ET",0.000,"Phi"
"TE","Blake Bell",2500,"Sea@SF 08:25PM ET",0.783,"SF"
"TE","James O'Shaughnessy",2500,"Pit@KC 01:00PM ET",2.250,"KC"
"TE","MyCole Pruitt",2500,"Min@Det 01:00PM ET",0.000,"Min"
"TE","Cameron Brate",2500,"TB@Was 01:00PM ET",0.567,"TB"
"TE","Will Tye",2500,"Dal@NYG 04:25PM ET",4.333,"NYG"
"TE","Chase Ford",2500,"Min@Det 01:00PM ET",0,"Min"
"TE","Clive Walford",2500,"Oak@SD 04:05PM ET",1.360,"Oak"
"TE","C.J. Fiedorowicz",2500,"Hou@Mia 01:00PM ET",3.233,"Hou"
"TE","Brian Parker",2500,"Pit@KC 01:00PM ET",0,"KC"
"TE","Demetrius Harris",2500,"Pit@KC 01:00PM ET",0.583,"KC"
"TE","Nick Boyle",2500,"Bal@Ari 08:30PM ET",2.300,"Bal"
"TE","Troy Niklas",2500,"Bal@Ari 08:30PM ET",0.383,"Ari"
"TE","Phillip Supernaw",2500,"Atl@Ten 01:00PM ET",0.000,"Ten"
"TE","Jesse James",2500,"Pit@KC 01:00PM ET",0,"Pit"
"TE","Derek Carrier",2500,"TB@Was 01:00PM ET",4.200,"Was"
"TE","Geoff Swaim",2500,"Dal@NYG 04:25PM ET",0.500,"Dal"
"TE","E.J. Bibbs",2500,"Cle@StL 01:00PM ET",0,"Cle"
"DST","Raiders ",2400,"Oak@SD 04:05PM ET",7.000,"Oak"
"DST","Rams ",2400,"Cle@StL 01:00PM ET",9.600,"StL"
"DST","Jaguars ",2400,"Buf@Jax 09:30AM ET",3.000,"Jax"
"DST","Browns ",2300,"Cle@StL 01:00PM ET",6.167,"Cle"
"DST","Colts ",2300,"NO@Ind 01:00PM ET",6.000,"Ind"
"DST","49ers ",2100,"Sea@SF 08:25PM ET",3.667,"SF"
"DST","Saints ",2000,"NO@Ind 01:00PM ET",6.333,"NO"
